id,indicator,substitution,frequency,confidence,notes,verdict,Leave in wordplay,delete
101,soldier,RA,508,high,Royal Artillery,,,
100,soldier,RE,327,high,Royal Engineers,,,
122,lawyer,DA,291,high,US,,,
24440,river,MA,277,high,,,,yes
24451,book,NT,237,high,,,,
108,army,TA,224,high,,,,
102,soldier,OR,206,medium,other ranks,,,
140,degree,MA,195,medium,,,,
24536,peacekeepers,UN,189,medium,,,,
24402,party,CON,172,medium,,,,
24510,home counties,SE,171,medium,,,,
139,degree,BA,169,medium,,,,
24436,record,LP,149,medium,,,,
24502,car,RR,136,medium,,,,
104,engineer,RE,131,medium,,,,
24492,jolly,RM,123,medium,,,,yes
24383,road,AI,117,medium,,,,
24493,marines,RM,111,medium,,,,
24453,conservationists,NT,107,medium,,,,yes
124,detective,PI,94,medium,,,,
24466,male,PA,93,medium,,,,
24519,holy man,ST,91,medium,,,,
24463,sailor,OS,85,medium,,,,
24380,now,AD,79,medium,,,,
24507,bearing,SE,68,medium,,,,
112,worker,BEE,68,medium,worker bee,,,
24448,bearing,NE,62,medium,,,,
24476,exercise,PT,60,medium,,,,
144,queen,HM,45,low,,,,
24481,artillery,RA,38,low,,,,
24495,soldier,RM,36,low,,,,
24491,whistle-blower,REF,36,low,,,,
24509,corner,SE,35,low,,,,
24500,sailor,RN,34,low,,,,
24498,nurse,RN,33,low,,,,
24450,corner,NE,32,low,,,,
24442,engineer,ME,32,low,,,,
24441,disease,ME,28,low,,,,
24477,gym,PT,28,low,,,,
24413,policemen,DI,24,low,,,,
24620,tories,CONS,20,low,CONSECRATE,,,
24489,arbiter,REF,19,low,,,,
24497,fleet,RN,17,low,,,,
24406,bishop,DD,16,low,,,,
24513,nazis,SS,15,low,,,,
24405,academic,DD,14,low,,,,
24426,terrorists,IRA,11,low,,,,
93,reverend,REV,10,very_low,,,,
24501,senior service,RN,10,very_low,,,,
110,air force,RAF,9,very_low,,,,
24523,bearing,SW,9,very_low,,,,
24390,doctor,BM,9,very_low,,,,
105,gunner,RA,9,very_low,,,,
24398,policemen,CID,8,very_low,,,,
24503,priest,RR,8,very_low,,,,
24469,computer,PC,7,very_low,,,,
24434,disc,LP,6,very_low,,,,
24484,painters,RA,6,very_low,,,,
24459,map-makers,OS,5,very_low,,,,
24427,internet,ISP,4,very_low,,,,
24496,troop,RM,4,very_low,,,,
24388,honours,BA,3,very_low,,,,
24408,priest,DD,3,very_low,,,,
24409,reverend,DD,3,very_low,,,,
24464,attorney,PA,2,very_low,,,,
24425,paramilitaries,IRA,2,very_low,,,,
24397,policeman,CID,2,very_low,,,,
24445,army cop,MP,1,very_low,,,,
24470,constable,PC,1,very_low,,,,
24458,corner,NW,1,very_low,,,,
24525,corner,SW,1,very_low,,,,
24437,honours,MA,1,very_low,,,,
24428,internet provider,ISP,1,very_low,,,,
24391,medic,BM,1,very_low,,,,
24530,paramilitaries,UDA,1,very_low,,,,
24534,terrorists,UFF,1,very_low,,,,
27031,a call to stop,HO,0,medium,telegraph freq=2,,,
27185,a compass quarter,SE,0,medium,telegraph freq=2,,,
27218,a greeting,HI,0,medium,telegraph freq=2,,,
27189,a member of,IN,0,medium,telegraph freq=2,,,
27028,absence of,NO,0,medium,telegraph freq=2,,,
27060,advertising,PR,0,medium,telegraph freq=2,,,
26709,again,RE,0,medium,telegraph freq=4,,,
26734,alien,ET,0,medium,telegraph freq=3,,,
26733,alternative,OR,0,medium,telegraph freq=3,,,
26753,alternatively,OR,0,medium,telegraph freq=3,,,
27129,always,ER,0,medium,telegraph freq=2,,,yes
27196,an old way of saying you,YE,0,medium,telegraph freq=2,,,
26179,answer,ANS,0,low,times_notation: freq=2,,,
26984,applied to,ON,0,medium,telegraph freq=2,,,
24762,army,RE,0,high,,,,
27167,at work,IN,0,medium,telegraph freq=2,,,
26787,attached to,ON,0,medium,telegraph freq=2,,,
26790,attend,GO,0,medium,telegraph freq=2,,,
26795,attention seeker,OI,0,medium,telegraph freq=2,,,
24414,basque nationalists,ETA,0,very_low,,,,
27094,batting in cricket,IN,0,medium,telegraph freq=2,,,
26747,be quiet,SH,0,medium,telegraph freq=3,,,
24456,bearing,NW,0,very_low,,,,
27039,belonging to,IN,0,medium,telegraph freq=2,,,
26978,bit of a laugh,HA,0,medium,telegraph freq=2,,,
27108,boozer,PH,0,medium,telegraph freq=2,,,
27012,by or next to,AT,0,medium,telegraph freq=2,,,
26687,certainly not,NO,0,medium,telegraph freq=5,,,
27125,chamberpot,PO,0,medium,telegraph freq=2,,,yes
26670,chemical symbol for gold,AU,0,medium,telegraph freq=7,,,
27006,chemical symbol for iron,FE,0,medium,telegraph freq=2,,,
26684,chemical symbol for silver,AG,0,medium,telegraph freq=5,,,
26986,chief journalist,ED,0,medium,telegraph freq=2,,,
27207,circles,OS,0,medium,telegraph freq=2,,,
27130,city area,EC,0,medium,telegraph freq=2,,,
24754,colonel,COL,0,high,,,,
27140,coming from,EX,0,medium,telegraph freq=2,,,
24449,compass point,NE,0,very_low,,,,
24457,compass point,NW,0,very_low,,,,
24508,compass point,SE,0,very_low,,,,
24524,compass point,SW,0,very_low,,,,
27001,computers etc,IT,0,medium,telegraph freq=2,,,
26800,concerned with,OF,0,medium,telegraph freq=2,,,
27079,concerned with,ON,0,medium,telegraph freq=2,,,
26811,connected to,ON,0,medium,telegraph freq=2,,,
26798,could,IS,0,medium,telegraph freq=2,,,yes
26189,december,DEC,0,low,times_notation: freq=2,,,
27109,devout,PI,0,medium,telegraph freq=2,,,yes
27081,directly from,EX,0,medium,telegraph freq=2,,,
27064,disappointed expression,AW,0,medium,telegraph freq=2,,,
27101,done,EX,0,medium,telegraph freq=2,,,
27048,e w,TH,0,medium,telegraph freq=2,,,yes
24622,ec,EUROPEAN COMMISSION,0,very_low,,,,
26980,elected repeatedly,IN,0,medium,telegraph freq=2,,,
25362,elysee,ELY,0,low,times_notation: freq=2,,,yes
24768,engineer,CE,0,high,,,,
24769,engineers,CE,0,high,,,,
26758,enter,IN,0,medium,telegraph freq=3,,,
24415,estimated time of arrival,ETA,0,very_low,,,,
26549,excepting one of two,AN,0,high,times_notation: minus_pattern freq=1,,,
26756,excited,UP,0,medium,telegraph freq=3,,,
26769,explosive,HE,0,medium,telegraph freq=3,,,
26983,feel,BE,0,medium,telegraph freq=2,,,
27071,fight,TO,0,medium,telegraph freq=2,,,yes
27135,final blow,KO,0,medium,telegraph freq=2,,,
27114,floor,KO,0,medium,telegraph freq=2,,,
27103,flying bomb,VI,0,medium,telegraph freq=2,,,
26757,for,TO,0,medium,telegraph freq=3,,,yes
26652,former lover,EX,0,medium,telegraph freq=10,,,
26646,former partner,EX,0,medium,telegraph freq=13,,,
27171,former wife,EX,0,medium,telegraph freq=2,,,
27174,formerly,EX,0,medium,telegraph freq=2,,,
24715,french,LE,0,high,,,,yes
24716,french,LA,0,high,,,,yes
24717,french,UN,0,high,,,,yes
24718,french,DE,0,high,,,,yes
27098,from,OF,0,medium,telegraph freq=2,,,
27113,from,EX,0,medium,telegraph freq=2,,,
26148,germany,GER,0,low,times_notation: freq=2,,,
26796,good,PI,0,medium,telegraph freq=2,,,yes
26724,good person,ST,0,medium,telegraph freq=4,,,
27008,good soul,ST,0,medium,telegraph freq=2,,,
24709,greek,CHI,0,high,,,,yes
24710,greek,PI,0,high,,,,yes
24711,greek,MU,0,high,,,,yes
24712,greek,NU,0,high,,,,yes
24713,greek,ETA,0,high,,,,yes
24714,greek,PHI,0,high,,,,yes
27146,gymnastics,PE,0,medium,telegraph freq=2,,,
24386,half day,AM,0,very_low,,,,
26789,held by,IN,0,medium,telegraph freq=2,,,
26683,heraldic gold,OR,0,medium,telegraph freq=5,,,
26650,heraldic term for gold,OR,0,medium,telegraph freq=10,,,
26732,heraldic word for gold,OR,0,medium,telegraph freq=3,,,
24776,horse,GG,0,high,,,,
26813,if not,OR,0,medium,telegraph freq=2,,,
26779,illuminated,ON,0,medium,telegraph freq=2,,,
26812,in relation to,RE,0,medium,telegraph freq=2,,,
27216,in the manner of,AS,0,medium,telegraph freq=2,,,
26751,in the morning,AM,0,medium,telegraph freq=3,,,
26644,indefinite article,AN,0,medium,telegraph freq=14,,,
27065,international agency,UN,0,medium,telegraph freq=2,,,
24424,irish republican army,IRA,0,very_low,,,yes,
26726,journey,GO,0,medium,telegraph freq=3,,,
26765,just the thing,IT,0,medium,telegraph freq=3,,,
27200,kindly given to us by our setter,IS,0,medium,telegraph freq=2,,,
25475,labour,LAB,0,low,times_notation: freq=2,,,
25460,labrador,LAB,0,low,times_notation: freq=2,,,
27123,lacking in,NO,0,medium,telegraph freq=2,,,
24778,lady,HER,0,high,,,,
24798,large,OS,0,high,,,,
27025,late princess,DI,0,medium,telegraph freq=2,,,
26778,let me see,UM,0,medium,telegraph freq=2,,,
26820,like that,SO,0,medium,telegraph freq=2,,,
26702,lit up,ON,0,medium,telegraph freq=4,,,
27046,little hesitation,ER,0,medium,telegraph freq=2,,,
25154,london,LON,0,medium,times_notation: freq=3,,yes,
24723,loud,FF,0,high,,,,
24756,loudly,FF,0,high,,,,
27038,loudspeaker system,PA,0,medium,telegraph freq=2,,,
27116,lover no longer,EX,0,medium,telegraph freq=2,,,
27134,loves,OO,0,medium,telegraph freq=2,,,
27141,lower,OX,0,medium,telegraph freq=2,,,
27016,map,AZ,0,medium,telegraph freq=2,,,
26191,mediterranean,MED,0,low,times_notation: freq=2,,yes,
25137,microphone,MIC,0,medium,times_notation: freq=3,,yes,
24775,minute,MIN,0,high,,,yes,
90,mistress,MRS,0,very_low,,,,yes
27050,modern,IN,0,medium,telegraph freq=2,,,
25200,monday,MON,0,low,times_notation: freq=2,,yes,
27100,mounted on horseback,UP,0,medium,telegraph freq=2,,,
27144,mounting,UP,0,medium,telegraph freq=2,,,
26823,musical abbreviation for fortissimo,FF,0,medium,telegraph freq=2,,,
27062,musical note,TI,0,medium,telegraph freq=2,,,
27020,neat here referring to cattle,OX,0,medium,telegraph freq=2,,,
24423,never-never,HP,0,very_low,,,,
26972,no longer,EX,0,medium,telegraph freq=2,,,
26821,not the first,OB,0,medium,telegraph freq=2,,,
24781,nurse,EN,0,high,,,,
27161,occupying position of,AT,0,medium,telegraph freq=2,,,
26194,october,OCT,0,low,times_notation: freq=2,,yes,
27142,old king,GR,0,medium,telegraph freq=2,,,
26677,old partner,EX,0,medium,telegraph freq=6,,,
27049,old record,EP,0,medium,telegraph freq=2,,,
27027,old way of saying the,YE,0,medium,telegraph freq=2,,,
26768,old woman,MA,0,medium,telegraph freq=3,,,
26738,on board,SS,0,medium,telegraph freq=3,,,
27083,on good terms with,IN,0,medium,telegraph freq=2,,,
26637,on the subject of,RE,0,medium,telegraph freq=29,,,
26697,once,EX,0,medium,telegraph freq=5,,,
27242,once,RE,0,medium,self_learning:RESORTS,,,
27041,one is,IM,0,medium,telegraph freq=2,,,
27163,one very good,ST,0,medium,telegraph freq=2,,,
26666,ones,IS,0,medium,telegraph freq=7,,,
26725,out of,EX,0,medium,telegraph freq=4,,,
26550,p,CAR,0,high,times_notation: minus_pattern freq=1,,,yes
27149,pair of journalists,ED,0,medium,telegraph freq=2,,yes,
24416,paramilitaries,ETA,0,very_low,,,,
24533,paramilitaries,UFF,0,very_low,,,,
27042,party facing one way,DO,0,medium,telegraph freq=2,,,
26177,patricia,PAT,0,low,times_notation: freq=2,,yes,
26178,patrick,PAT,0,low,times_notation: freq=2,,yes,
27131,people in general,WE,0,medium,telegraph freq=2,,,
27030,personal problem,BO,0,medium,telegraph freq=2,,,
26805,playing,ON,0,medium,telegraph freq=2,,,
24759,pound,LB,0,high,,,,
26818,powerful beast,OX,0,medium,telegraph freq=2,,,
24752,private,GI,0,high,,,,
27059,quite,SH,0,medium,telegraph freq=2,,,
26174,referee,REF,0,low,times_notation: freq=2,,yes,
26985,restaurant,IT,0,medium,telegraph freq=2,,,yes
27112,retired,EX,0,medium,telegraph freq=2,,,
24731,river,EXE,0,high,,,,
28297,sally,sal,0,high,,,,
27150,seedy,CD,0,medium,telegraph freq=2,,,
27102,senior cleric,RR,0,medium,telegraph freq=2,,,
24774,shilling,BOB,0,high,,,,
26999,sign of hesitation,ER,0,medium,telegraph freq=2,,,
25410,sister,SIS,0,low,times_notation: freq=2,,yes,
26761,smell,BO,0,medium,telegraph freq=3,,,
24761,softly,PP,0,high,,,,
24707,soldiers,RA,0,high,,,,
26816,solver and setter together,WE,0,medium,telegraph freq=2,,,
24748,spanish,EL,0,high,,,,
24793,spirit,GIN,0,high,,,,
27110,spirit,GO,0,medium,telegraph freq=2,,,
25391,subeditor,SUB,0,low,times_notation: freq=2,,,
26182,submarine,SUB,0,low,times_notation: freq=2,,,
26989,sun god,RA,0,medium,telegraph freq=2,,,
26771,supported by,ON,0,medium,telegraph freq=3,,,
27128,surgery,OP,0,medium,telegraph freq=2,,,
28298,synchronised,synced,0,high,Paul,,,
27191,taking part,IN,0,medium,telegraph freq=2,,,
26828,taking top off,EN,0,medium,telegraph freq=2,,,
27111,team,IX,0,medium,telegraph freq=2,,,
24531,terrorists,UDA,0,very_low,,,,
27057,that bloke,HE,0,medium,telegraph freq=2,,,
26663,that man,HE,0,medium,telegraph freq=7,,,
27019,the,UP,0,medium,telegraph freq=2,,,
27147,the,YE,0,medium,telegraph freq=2,,,
26696,the abbreviation for church,CH,0,medium,telegraph freq=5,,,
26776,the abbreviation for court,CT,0,medium,telegraph freq=3,,yes,
26691,the chemical symbol for copper,CU,0,medium,telegraph freq=5,,yes,
26674,the chemical symbol for gold,AU,0,medium,telegraph freq=6,,yes,
26672,the chemical symbol for silver,AG,0,medium,telegraph freq=6,,yes,
26715,the compiler,ME,0,medium,telegraph freq=4,,,
26664,the heraldic term for gold,OR,0,medium,telegraph freq=7,,,
26730,the morning,AM,0,medium,telegraph freq=3,,,
27164,the old way of saying the,YE,0,medium,telegraph freq=2,,,
27148,third note,ME,0,medium,telegraph freq=2,,,
27072,this compiler,ME,0,medium,telegraph freq=2,,,
27054,this person sis,IM,0,medium,telegraph freq=2,,,
27217,this writer,IM,0,medium,telegraph freq=2,,,
27188,to be working,ON,0,medium,telegraph freq=2,,,
27153,top,UP,0,medium,telegraph freq=2,,,
26791,towards,AT,0,medium,telegraph freq=2,,,
26746,training,PE,0,medium,telegraph freq=3,,,
27234,turn in a game,GO,0,medium,telegraph freq=2,,,
27076,two cricket sides,ON,0,medium,telegraph freq=2,,,
27115,two parties,DO,0,medium,telegraph freq=2,,,
24532,ulster defence association,UDA,0,very_low,,,yes,
24535,ulster freedom fighters,UFF,0,very_low,,,yes,
26793,undergoing,IN,0,medium,telegraph freq=2,,,
27199,unspecified number,NO,0,medium,telegraph freq=2,,,
27235,using,BY,0,medium,telegraph freq=2,,,
26183,venerable,VEN,0,low,times_notation: freq=2,,yes,
26767,very good,SO,0,medium,telegraph freq=3,,,
27155,watching,AT,0,medium,telegraph freq=2,,,
24747,weight,OZ,0,high,,,,
26988,whenever,IF,0,medium,telegraph freq=2,,,
26708,with regard to,RE,0,medium,telegraph freq=4,,,
27151,within,IN,0,medium,telegraph freq=2,,,
27204,without,NO,0,medium,telegraph freq=2,,,
27143,word or hesitation,ER,0,medium,telegraph freq=2,,,
26777,working for,IN,0,medium,telegraph freq=2,,,
27213,your setter,IM,0,medium,telegraph freq=2,,,
26794,yours truly is,IM,0,medium,telegraph freq=2,,,
